dp_city_id	dp_city_name
1466	佛冈县
1467	阳山县
1468	清新县
1469	连山壮族瑶族自治县
1470	连南瑶族自治县
1471	乐昌市
1472	南雄市
1473	始兴县
1474	仁化县
1475	翁源县
1476	新丰县
1477	乳源瑶族自治县
1478	紫金县
1479	龙川县
1480	连平县
1481	和平县
1482	东源县
1483	兴宁市
1484	梅县区
1485	大埔县
1486	丰顺县
1487	五华县
1488	平远县
1489	蕉岭县
1490	潮安区
1490	潮安县
1491	饶平县
1492	南澳县
1493	普宁市
1494	揭东县
1495	揭西县
1496	惠来县
1497	陆丰市
1498	海丰县
1499	陆河县
1500	博罗县
1501	惠东县
1502	龙门县
1503	恩平市
1504	台山市
1505	开平市
1506	鹤山市
1507	高要区
1508	四会市
1509	广宁县
1510	怀集县
1511	封开县
1512	德庆县
1513	罗定市
1514	云安区
1515	新兴县
1516	郁南县
1517	阳春市
1518	阳西县
1519	阳东区
1520	化州市
1521	信宜市
1522	高州市
1523	电白区
1523	电白县
1524	吴川市
1525	廉江市
1526	雷州市
1527	遂溪县
1528	徐闻县
1529	武鸣区
1530	横县
1531	宾阳县
1532	上林县
1533	隆安县
1534	马山县
1535	阳朔县
1536	临桂县
1537	灵川县
1538	全州县
1539	兴安县
1540	永福县
1541	灌阳县
1542	资源县
1543	平乐县
1544	荔浦县
1545	龙胜各族自治县
1546	恭城瑶族自治县
1547	柳江县
1548	柳城县
1549	鹿寨县
1550	融安县
1551	三江侗族自治县
1552	融水苗族自治县
1553	岑溪市
1554	苍梧县
1555	藤县
1556	蒙山县
1557	桂平市
1558	平南县
1559	北流市
1560	兴业县
1561	容县
1562	陆川县
1563	博白县
1564	灵山县
1565	浦北县
1566	合浦县
1567	东兴市
1568	上思县
1569	凭祥市
1570	扶绥县
1571	大新县
1572	天等县
1573	宁明县
1574	龙州县
1575	田阳县
1576	田东县
1577	平果县
1578	德保县
1579	靖西县
1579	靖西市
1580	那坡县
1581	凌云县
1582	乐业县
1583	西林县
1584	田林县
1585	隆林各族自治县
1586	宜州市
1587	南丹县
1588	天峨县
1589	凤山县
1590	东兰县
1591	巴马瑶族自治县
1592	都安瑶族自治县
1593	大化瑶族自治县
1594	罗城仫佬族自治县
1595	环江毛南族自治县
1596	合山市
1597	象州县
1598	武宣县
1599	忻城县
1600	金秀瑶族自治县
1601	昭平县
1602	钟山县
1603	富川瑶族自治县
1604	都江堰市
1605	彭州市
1606	邛崃市
1607	崇州市
1608	金堂县
1609	双流区
1609	双流县
1610	郫县
1611	大邑县
1612	蒲江县
1613	新津县
1614	旺苍县
1615	青川县
1616	剑阁县
1617	苍溪县
1618	江油市
1619	三台县
1620	盐亭县
1621	安县
1622	梓潼县
1623	北川羌族自治县
1624	平武县
1625	什邡市
1626	广汉市
1627	绵竹市
1628	罗江县
1629	中江县
1630	阆中市
1631	南部县
1632	营山县
1633	蓬安县
1634	仪陇县
1635	西充县
1636	华蓥市
1637	岳池县
1638	武胜县
1639	邻水县
1640	蓬溪县
1641	射洪县
1642	大英县
1643	威远县
1644	资中县
1645	隆昌县
1646	峨眉山市
1647	犍为县
1648	井研县
1649	夹江县
1650	沐川县
1651	峨边彝族自治县
1652	马边彝族自治县
1653	荣县
1654	富顺县
1655	泸县
1656	合江县
1657	叙永县
1658	古蔺县
1659	宜宾县
1660	南溪县
1661	江安县
1662	长宁县
1663	高县
1664	筠连县
1665	珙县
1666	兴文县
1667	屏山县
1668	米易县
1669	盐边县
1670	通江县
1671	南江县
1672	平昌县
1673	万源市
1674	达县
1675	宣汉县
1676	开江县
1677	大竹县
1678	渠县
1679	简阳市
1680	乐至县
1681	安岳县
1682	仁寿县
1683	彭山区
1683	彭山县
1684	洪雅县
1685	丹棱县
1686	青神县
1687	名山县
1688	荥经县
1689	汉源县
1690	石棉县
1691	天全县
1692	芦山县
1693	宝兴县
1694	马尔康区
1694	马尔康县
1695	汶川县
1696	理县
1697	茂县
1698	松潘县
1699	九寨沟县
1700	金川县
1701	小金县
1702	黑水县
1703	壤塘县
1704	阿坝县
1705	若尔盖县
1706	红原县
1707	泸定县
1708	丹巴县
1709	九龙县
1710	雅江县
1711	道孚县
1712	炉霍县
1713	甘孜县
1714	新龙县
1715	德格县
1716	白玉县
1717	石渠县
1718	色达县
1719	理塘县
1720	巴塘县
1721	乡城县
1722	稻城县
1723	得荣县
1724	盐源县
1725	德昌县
1726	会理县
1727	会东县
1728	宁南县
1729	普格县
1730	布拖县
1731	金阳县
1732	昭觉县
1733	喜德县
1734	冕宁县
1735	越西县
1736	甘洛县
1737	美姑县
1738	雷波县
1739	木里藏族自治县
1740	清镇市
1741	开阳县
1742	修文县
1743	息烽县
1744	盘县
1745	赤水市
1746	仁怀市
1747	播州区
1747	遵义县
1748	桐梓县
1749	绥阳县
1750	正安县
1751	凤冈县
1752	湄潭县
1753	余庆县
1754	习水县
1755	道真仡佬族苗族自治县
1756	务川仡佬族苗族自治县
1757	平坝区
1758	普定县
1759	关岭布依族苗族自治县
1760	镇宁布依族苗族自治县
1761	紫云苗族布依族自治县
1762	七星关区
1763	大方县
1764	黔西县
1765	金沙县
1766	织金县
1767	纳雍县
1768	赫章县
1769	威宁彝族回族苗族自治县
1770	碧江区
1771	江口县
1772	石阡县
1773	思南县
1774	德江县
1775	玉屏侗族自治县
1776	印江土家族苗族自治县
1777	沿河土家族自治县
1778	松桃苗族自治县
1779	凯里市
1780	黄平县
1781	施秉县
1782	三穗县
1783	镇远县
1784	岑巩县
1785	天柱县
1786	锦屏县
1787	剑河县
1788	台江县
1789	黎平县
1790	榕江县
1791	从江县
1792	雷山县
1793	麻江县
1794	丹寨县
1795	都匀市
1796	福泉市
1797	荔波县
1798	贵定县
1799	瓮安县
1800	独山县
1801	平塘县
1802	罗甸县
1803	长顺县
1804	龙里县
1805	惠水县
1806	三都水族自治县
1807	兴义市
1808	兴仁县
1809	普安县
1810	晴隆县
1811	贞丰县
1812	望谟县
1813	册亨县
1814	安龙县
1815	安宁市
1816	呈贡区
1816	呈贡县
1817	晋宁县
1818	富民县
1819	宜良县
1820	嵩明县
1821	石林彝族自治县
1822	禄劝彝族苗族自治县
1823	寻甸回族彝族自治县
1824	宣威市
1825	马龙县
1826	沾益区
1826	沾益县
1827	富源县
1828	罗平县
1829	师宗县
1830	陆良县
1831	会泽县
1832	江川区
1832	江川县
1833	澄江县
1834	通海县
1835	华宁县
1836	易门县
1837	峨山彝族自治县
1838	新平彝族傣族自治县
1839	元江哈尼族彝族傣族自治县
1840	施甸县
1841	腾冲县
1841	腾冲市
1842	龙陵县
1843	昌宁县
1844	鲁甸县
1845	巧家县
1846	盐津县
1847	大关县
1848	永善县
1849	绥江县
1850	镇雄县
1851	彝良县
1852	威信县
1853	水富县
1854	永胜县
1855	华坪县
1856	玉龙纳西族自治县
1857	宁蒗彝族自治县
